,Hanke,AlkuPvm,Karkihanke,MenotYhteensa,Organisaatio,Projekti,LoppuPvm,Kehittamistarve,StrateginenOhjelmaYlempi
2,Rakennusvalvonnan toiminnan kehittäminen,2016-11-14,Ei,150000.0,Kyto/Luvat ja valvonta,Rakennusvalvonnan arkiston muuttaminen digitaaliseen muotoon,2022-12-31,Toimintoanalyysi,Vaikuttava ja uudistuva Turku
3,KYTO digitalisaatio,2017-02-27,Ei,375000.0,Kyto/Luvat ja valvonta,Ruissalon opastuskeskuksen digitalisointi ja toimintamallin uudistaminen ,2019-06-30,Toimintoanalyysi,Vaikuttava ja uudistuva Turku
6,Smart and Wise Turku/Asiakkuuksien ja palveluiden hallinta,2016-08-29,Kyllä,542371.0,Konha/Asiakkuudet ja osallisuus,Konsernitasoinen resurssivarausten kehittäminen,2021-12-31,Kaupunkistrategia 2029 ja strategiset ohjelmat,Vaikuttava ja uudistuva Turku
7,Vapa: Aktiivisuuden edistäminen,2016-03-11,Ei,400000.0,Vapa/Kirjastopalvelut,Uuden palvelukonseptin kirjastoauton hankinta,2020-06-30,"Mahdollistava (yhteistyö, rahoitus jne)",Aktiivinen turkulainen
11,Uusien työ- ja tilankäyttökonseptien kehittäminen ,2016-06-21,Ei,25000.0,Tilapalvelukeskus,"Byråbo 20, ent. Toimistoverkkosuunnitelma",2024-03-31,Kaupunkistrategia 2029 ja strategiset ohjelmat,Vaikuttava ja uudistuva Turku
13,Sito/Ammatillisen koulutuksen reformi,2017-12-01,Ei,464722.74,Sivistystoimiala,365/12 - 6Aika,2020-05-31,Pakottava ulkoinen (lakimuutos jne),Osaava ja oppiva turkulainen
14,Lakiasiat,2018-12-31,Ei,350000.0,Konha/Hallintoryhmä,Sopimushallinnan kehittäminen,2020-06-01,Kaupunkistrategia 2029 ja strategiset ohjelmat,Vaikuttava ja uudistuva Turku
15,Sito/Ammatillisen koulutuksen reformi,2017-03-01,Ei,276149.99999999994,Sito/Ammatillinen koulutus,AboaNova - Maahanmuuttajien kotoutumisen edistäminen Turun seudulla,2020-02-29,"Mahdollistava (yhteistyö, rahoitus jne)",Yrittävä ja osaava Turku
16,Vapa: Kansalaistaidot ja saavutettavuus,2016-09-05,Ei,18600.0,Vapa/Nuorisopalvelut,OBU - Nuorisopalveluiden osallistuva budjetointi,2020-03-31,Muu,Aktiivinen turkulainen
17,Sito/STEAM Turku,2017-12-07,Ei,858961.0,Sivistystoimiala,Tulevaisuuden älykkäät oppimisympäristöt,2020-11-30,Kaupunkistrategia 2029 ja strategiset ohjelmat,Osaava ja oppiva turkulainen
