"Hanke","AlkuPvm","StrateginenOhjelma","Karkihanke","SidosryhmaRooli","Aihepiiri","MenotYhteensa","Organisaatio","ProjektiId","Projekti","LoppuPvm","JulkaistavaProjektikuvaus","Kehittamistarve","Kohderyhma","StrateginenOhjelmaYlempi"
"Tämä on hanke","2015-03-01","Kilpailukyky ja kestävä kasvu","Kyllä","null","Elinkeinoelämä ja liiketoiminta|Hallinto ja päätökset|Kaavoitus ja rakentaminen|Kaupunkikehittäminen|Koulutus ja päivähoito|Kulttuuri ja liikunta|Liikenne|Tekniikka ja teknologia|Terveys ja sosiaalipalvelut|Ympäristö","null","Konha/Kaupunkikehitysryhmä","85","Keskustan kehittämisen kärkihanke","2021-12-31","Kokonaisvaltaiseen kaupunkikehittämiseen tähtäävällä kärkihankkeella tavoitellaan Turun keskustan kilpailukyvyn ja vetovoiman vahvistamista niin liiketoiminnan ja matkailun kuin asumisen näkökulmista.\r\n\r\nYhtäältä tavoitteena on vahvistaa elinvoimaisen kaupunkikeskustan asemaa kaupunkilaisten yhteisenä viihtyisänä ympäristönä parantamalla julkisia kaupunkitiloja, lisäämällä ympärivuotista houkuttelevuutta sekä varmistamalla vilkkaan kulttuurielämän ja vireän tapahtumatoiminnan edellytykset kaupungin keskustatilassa. Toisaalta halutaan löytää keinoja kaupallisen keskustan elinvoiman vahvistamiseen ja uskon palauttamiseen keskustaan kohdistuviin investointeihin. Tavoitteena on lisäksi varmistaa, että keskusta on tulevaisuudessakin saavutettavissa kaikilla liikennemuodoilla niin kansainvälisesti, kansallisesti kuin seudullisestikin.\r\n\r\nKeskustan kehittämisen kärkihanke koostuu kolmesta tavoitteellisesta painopistealueesta, jotka luovat pohjan elävän ja vetovoimaisen kaupunkikeskustan kehittämiselle:\r\n• Saavutettava ja helposti kuljettava keskusta\r\n• Kaupallisesti houkutteleva keskusta\r\n• Viihtyisä ja elävä kohtaamisten keskusta\r\n\r\nLisätietoja Keskustan kehittämisen verkkosivulta: http://www.turku.fi/keskustan-kehittaminen\r\n","Kaupunkistrategia 2029 ja strategiset ohjelmat","Aikuiset|Lapsiperheet|Maahanmuuttajat|Matkailijat|Nuoret|Seniorit|Työnhakijat|Vammaiset|Vauvat ja taaperot|Viranomaiset|Yhdistykset ja yhteisöt|Yritykset","null"
"Tämä on hanke","null","Kilpailukyky ja kestävä kasvu","Kyllä","null","Elinkeinoelämä ja liiketoiminta|Hallinto ja päätökset|Kaavoitus ja rakentaminen|Kaupunkikehittäminen|Koulutus ja päivähoito|Kulttuuri ja liikunta|Liikenne|Tekniikka ja teknologia|Terveys ja sosiaalipalvelut|Ympäristö","null","Konsernihallinto","91","Turun Tiedepuisto","null","Turun Tiedepuisto -kärkihanke on yksi kaupungin kolmesta kärkihankkeesta ja tärkeä osatekijä Turun vetovoimaisuuden ja kilpailukyvyn kehittämisessä. Hankkeen tavoitteena on luoda uusilla verkostomaisilla toimintamalleilla kansainvälisesti kiinnostava ja rohkean kokeileva osaamiskeskittymä, joka on toiminnoiltaan monipuolinen ja logistisesti vetovoimainen.\r\n\r\nKärkihankkeen tavoitteena on yhdistää alueen maankäytön, rakentamisen ja liikkumisen hankkeet toiminnallisen ympäristön kehittämiseen sekä innovaatiotoimintaan, palveluiden ja liiketoimintamallien uudistumiseen. Kokeilumyönteisyys ja ketteryys ovat keskeisiä kehittämisen periaatteita. Monipuoliselle älykaupungin kokeilu-, kehitys-, ja tutkimustoiminnalle tarjoutuu kärkihankkeen kautta näyteikkuna ja houkutteleva alusta.\r\n\r\nLisätietoja Turun Tiedepuiston verkkosivuilta: https://www.turku.fi/turuntiedepuisto ","Kaupunkistrategia 2029 ja strategiset ohjelmat","Aikuiset|Lapsiperheet|Maahanmuuttajat|Matkailijat|Nuoret|Seniorit|Työnhakijat|Vammaiset|Vauvat ja taaperot|Viranomaiset|Yhdistykset ja yhteisöt|Yritykset","null"
"Rakennusvalvonnan toiminnan kehittäminen","2016-11-14","Digitaalisia palveluja kehitetään laajalla ja avoimella yhteistyöllä","Ei","null","null","150000.0","Kyto/Luvat ja valvonta","601","Rakennusvalvonnan arkiston muuttaminen digitaaliseen muotoon","2022-12-31","Turun kaupungin rakennusten arkistoituja pääpiirustuksia digitoidaan kahdessa eri digitointihankkeessa. \r\n\r\nTurun rakennusvalvonnassa digitoidaan rakennusten pääpiirustuksia ja katselmuspöytäkirjoja vuosilta 1990–2014, kun taas vuosien 1930–1989 piirustuksia digitoidaan Turun kaupunginarkistossa.  \r\n\r\nHuhtikuusta 2014 lähtien paperisen rakennusluvan hakijat ovat toimittaneet rakennusvalvonnalle pääpiirustukset myös sähköisenä joko sähköisen palvelun kautta tai kopiolaitoksella skannattavana työnä.\r\n\r\nRakennusten pääpiirustuksiin kuuluvat: \r\n- asemapiirustukset\r\n- pohjapiirustukset\r\n- leikkauspiirustukset\r\n- julkisivupiirustukset. \r\n\r\nRakennuslupiin liittyvät piirustukset ovat Turun rakennusvalvonnan ja Turun kaupunginarkiston käytetyintä aineistoa. \r\nPääpiirustukset vuoteen 1989 asti on mikrofilmattu, ja mikrofilmejä voidaan tutkia kaupunginarkiston asiakaspalvelussa. Vuosien 1990–2014 pääpiirustukset 8.4.2014 saakka ovat rakennusvalvonnassa vain paperisina. \r\n\r\nDigitoidut rakennusten pääpiirustukset ovat tulevaisuudessa saatavilla verkossa. Sähköinen asiointi antaa asiakkaille mahdollisuuden tutkia aineistoa ajasta riippumatta. \r\n\r\nPiirustusten digitointi palvelee suoraan sekä kaupungin sisäistä toimintaa että piirustuksia eri tarkoituksiin käyttäviä yrityksiä ja yksityishenkilöitä. \r\n\r\nRakennuslupiin liittyviä pääpiirustuksia käyttävät mm. rakennuslupien hakijat, ostajat, kiinteistönvälittäjät, tutkijat ja opinnäytetyön tekijät sekä rakennuksista tai arkkitehtuurista muuten kiinnostuneet henkilöt. \r\n\r\nKaupungin sisällä piirustuksia tarvitaan esim. kaavojen ja liikennesuunnittelun valmistelussa.\r\n\r\nDigitointiprosessissa alkuperäiset pääpiirustukset käydään järjestelmällisesti läpi. Lupapiirustusten oikea järjestys, arkistokokonaisuus ja kunto tarkistetaan. Tarvittaessa piirustukset konservoidaan. Aineisto skannataan ja tallennetaan sähköiseen arkistoon. \r\n\r\nDigitoinnin ansiosta alkuperäisten paperidokumenttien käyttö rakennusvalvonnan toiminnassa ja asiakaspalvelussa vähenee, jolloin turvataan alkuperäisten, arkistoitujen ja pysyvästi säilytettävien asiakirjojen säilyvyys.\r\n\r\nDigitointi lisää alkuperäisaineiston kysyntää, ja se synnyttää myös uusia käyttötapoja kuten sähköisen aineiston haku- ja selailumahdollisuuksia sekä erilaisten tietojen yhdistämistä ja tallentamista.  \r\n\r\n","Toimintoanalyysi","null","Vaikuttava ja uudistuva Turku"
"KYTO digitalisaatio","2017-02-27","Digitaalisia palveluja kehitetään laajalla ja avoimella yhteistyöllä","Ei","Turun yliopisto£Korkeakoulu tai oppilaitos","null","375000.0","Kyto/Luvat ja valvonta","604","Ruissalon opastuskeskuksen digitalisointi ja toimintamallin uudistaminen ","2019-06-30","Turun kaupungin tuottama Ruissalo-opastus uudistuu. Opastuskeskus Tammenterhon toiminta päättyi vuonna 2016, ja uudistunut Turun kaupungin Ruissalo Info siirtyi Turun yliopiston kasvitieteellisen puutarhan yhteyteen. Samaan aikaan on luontevaa laatia Ruissalo Infoon uutta, niin perinteistä kuin myös nykyaikaista tekniikkaa hyödyntävää, opastussisältöä. Myös Suomen valtion ja Turun kaupungin välinen Ruissalosopimus edellyttää opastuksen kehittämistä.\r\n\r\nProjektin tavoitteena on luoda turkulaisille ja matkailijoille mielenkiintoista ja luonnossa liikkumiseen innostavaa opastussisältöä. Samalla pyritään rikastamaan Ruissalossa liikkuvien luonnontuntemusta, edistämään luontoharrastusta ja lisäämään Ruissalon arvostusta ainutlaatuisena luontokohteena. Perinteisen opastuksen monipuolistaminen digitaalisilla ratkaisuilla helpottaa myös opastuksen tarjoamista useilla eri kielillä.\r\n\r\nProjektissa ratkaistaan Ruissalon digitaalisen opastuksen toteuttamistapa ja julkaistaan ensimmäiset opastusmateriaalit. Ruissalo Infossa otetaan käyttöön Ruissaloa esittelevät kosketusnäytöt ja laaditaan testikäyttöön ensimmäinen mobiililuontopolku. Ruissalo Infoon ideoidaan digitaalisia palveluita ja vertaillaan saatavilla olevia teknisiä ratkaisuja, palveluntuottajia ja hintoja. Valittu toteutustapa ohjaa opastuksen sisällön laajentamista projektin päättymisen jälkeen.\r\n","Toimintoanalyysi","null","Vaikuttava ja uudistuva Turku"
"null","null","Tuloksellisuutta parannetaan hyvällä johtamisella, uusilla toimintatavoilla ja niitä tukevilla työvälineillä","Ei","null","null","10000.0","Kyto/Seudullinen joukkoliikenne","611","Kustannusjaon selkeyttäminen kuntien välillä","2020-08-28","Projektissa sovitaan, miten henkilöstö- ja liikennöintikustannukset jatkossa jaetaan Föli-kuntien kesken. Turun seudun joukkoliikenteeseen Föliin kuuluvat Turku, Kaarina, Raisio, Naantali, Lieto, Rusko. \r\nProjektissa sovitaan seudullisen joukkoliikenteen henkilöstön palkkakulujen jakamisesta kuntien välillä siten, että kaikki osallistuvat kustannuksiin asukaslukunsa mukaisesti. Lisäksi projektissa selvitetään, onko nykyinen liikennöinnin kustannusjakoperuste kuntien välillä oikea. Jakoperuste on sovittu silloin, kun Föli perustettiin. Silloin ei kuitenkaan ollut käytössä mitään matkustajamäärätietoja Föli-liikenteestä. Nyt kun tilastotietoa on paljon, tarkistetaan mikä on oikeudenmukaisin peruste seudullisten bussilinjojen kustannusten jakamiseen kuntien välillä. \r\n\r\nProjektin tavoitteena on varmistaa yhteisen joukkoliikenteen kustannusten oikeudenmukaisuus kaikkien kuntien kannalta. Uusi kustannustenjakotapa säästää Turun kustannuksia, sillä Turku maksaa tällä hetkellä suurimman osan seutulinjojen kustannuksista. \r\n\r\nKunnat neuvottelivat henkilöstökustannusten jakamisesta keväällä 2017. Henkilöstökustannusten jakamisesta asukasluvun mukaan sovittiin syksyllä 2017.\r\nSeudullinen joukkoliikenne teetti selvityksen seutulinjojen kustannustenjaosta keväällä 2018. Föli-kunnat neuvottelivat uudesta kustannustenjakotavasta kesällä ja syksyllä 2018 ja löysivät yhteisen ratkaisun. Turun kaupunkiseudun joukkoliikennelautakunta teki päätöksen seutulinjojen uusista kustannusjakoperusteista 7.11.2018 § 189. Uudet perusteet tulevat voimaan 1.7.2019 alkaen ja säästävät Turun seutuliikennekustannuksia.","Toimintoanalyysi","null","Vaikuttava ja uudistuva Turku"
"null","2015-12-15","Turkua kehitetään merkittävänä matkailu-, kongressi- ja tapahtumakaupunkina","Ei","Turku Science Park Oy£Konserniyhtiö tai yhteisö|Turun ammattikorkeakoulu£Korkeakoulu tai oppilaitos|Teleste Oyj£Yritys|Hypercell Industries Oy£Yritys|Käyttäjät£Asiakas tai asukas|Tampereen kaupunki£Kaupunki, kunta tai seutukunta|Helsingin kaupunki£Kaupunki, kunta tai seutukunta","Elinkeinoelämä ja liiketoiminta|Kaupunkikehittäminen","530973.65","Konha/Kaupunkikehitysryhmä","748","6Aika/Opastamisen ekosysteemi","2019-12-31","6Aika: Opastamisen ekosysteemi -hanke kehittää Turun keskusta-alueen opastamista, ja tukee osaltaan Keskustan kehittäminen -kärkihanketta. Perinteisen opastamisen ohella hankkeessa pyritään löytämään uusia opastamisen tapoja, mm. asiakasvirtojen liikkumista mittavan datan avulla. Tavoitteena on, että opastaminen olisi Turun kaupunkiopastamisen vision 2030 mukaisesti ”käyttäjilleen räätälöityä, tunteita herättävää, ihmisiä yhdistävää ja vastuullisuuteen ohjaavaa”. \r\n\r\nHankkeessa testataan erilaisia opastamisen ratkaisuja lyhytaikaisten kokeilujen sekä laajempien pilottien avulla. Kokeilu- ja pilotointialueina toimivat keskusta ja Aurajokiranta sekä soveltuvilta osin myös kampus-tiedepuiston alue. \r\n\r\nTehokas opastaminen parantaa kaupunkikeskustan palveluiden saavutettavuutta ja vahvistaa alueen vetovoimaisuutta. Modernin ja ajantasaisen opastamisen avulla lisätään turvallisuutta ja helpotetaan sekä kaupunkilaisten että matkailijoiden liikkumista arjessa ja suurtapahtumissa. \r\n\r\nInnovatiivinen opastaminen on kiinnostavaa ja elämyksellistä. Perinteisen opastamisen ja kylttien rinnalle halutaan tuoda esimerkiksi digitaalisuutta ja virtuaalitodellisuutta hyödyntäviä opasteratkaisuja, jotka huomioivat kaikki käyttäjäryhmät esteettömästi ja kielestä riippumatta. \r\n\r\nHankkeessa on mukana kolme 6Aika-kaupunkia: Helsinki, Tampere ja Turku sekä Turun Ammattikorkeakoulu ja Turku Science Park Oy. Hankkeen lopputuloksena on kaupunkiopastamisen käsikirja, joka on jatkossa kaikkien kaupunkien hyödynnettävissä ja tarjoaa kaupunkien käyttöön valmiin, nykyaikaisen opastamisen mallin. \r\n\r\nHanke on osa 6Aika-strategiaa. 6Aika on Suomen kuuden suurimman kaupungin – Helsingin, Espoon, Vantaan, Tampereen, Turun ja Oulun – yhteinen kestävän kaupunkikehityksen strategia. Strategialla vastataan haasteisiin, joita kaupungistuminen tuo. Haluamme kehittää̈ kaupunkeja entistä̈ älykkäämmiksi ja vastata palveluilla kaupunkilaisten aitoihin tarpeisiin. 6Aika-strategian tavoitteena on synnyttää Suomeen uutta osaamista, liiketoimintaa ja työpaikkoja. Hankkeet ovat 6Ajan moottoreita ja Turussa 6Aika-hankkeilla tehdään näkyväksi kaupungin kärkihankkeita kuten Keskustakehittämistä, Tiedepuistoaluetta ja Smart and Wise Turkua.\r\n\r\nHanketta rahoittaa Euroopan rakennerahasto EAKR, ja rahoittavana viranomaisena toimii Uudenmaan liitto.\r\n\r\nLisätietoja \r\nwww.opastamisenekosysteemi.fi\r\nwww.6aika.fi","Asukas-, asiakas- ja henkilöstötarve","Aikuiset|Lapsiperheet|Maahanmuuttajat|Matkailijat|Nuoret|Seniorit|Vammaiset|Yhdistykset ja yhteisöt|Yritykset","Yrittävä ja osaava Turku"
"Smart and Wise Turku/Asiakkuuksien ja palveluiden hallinta","2016-08-29","Tilojen käyttöä tehostetaan uudistamalla toimintamalleja","Kyllä","Yritykset£Yritys|Kolmas sektori£Kolmas sektori","Elinkeinoelämä ja liiketoiminta|Kaupunkikehittäminen|Koulutus ja päivähoito|Kulttuuri ja liikunta|Terveys ja sosiaalipalvelut","542371.0","Konha/Asiakkuudet ja osallisuus","805","Konsernitasoinen resurssivarausten kehittäminen","2021-12-31","Tämän hetken toimintatavat kaupungissa resurssien varaamiseen on todella kirjavat eikä kokonaistilannetta eri resurssien käytöstä ole saatavilla. Resursseilla tarkoitetaan palveluita kuten esim. liikutasalivuoro, kokoustila, polkupyörän vuokraus, lääkärin tai sairaanhoitajan vastaanotto. Tämän vuoksi projektissa luodaan toimintamalli, jolla saadaan mahdollisimman yhtenäiset varausprosessit koko kaupunkiin. Toimintamallilla helpotetaan varausten tekemistä siten, että riippumatta varattavasta palvelusta, on varausprosessi aina asiakkaalle samanlainen. Projektin tavoitteena on myös mm. tilojen ja muiden resurssien käytön tehostaminen, käyttöastetietojen kerääminen ja hyödyntäminen, saavutettavuuden parantaminen ja käyttöön liittyvien kustannusten alentaminen kaupungin varauskäytäntöjä yhtenäistämällä.\r\n\r\nProjektin tulokset näkyvät asiakkaille siten, että varausprosessi on samanlainen varattavasta palvelusta huolimatta ja se tehdään yhdellä ja samalla palvelualustalla varaamo.turku.fi. Varauksen yhteydessä asiakas pystyy tunnistautumaan palveluun, tekemään varauksen ja maksamaan sen. \r\n\r\nYrityksiä ja kolmannen sektorin toimijoita projekti tulee hyödyttämään siinä, että jatkossa myös ne voivat tarjota omia vastaavia palveluitaan tai vaihtoehtoisesti tukipalveluitaan osana asiakkaalle tarjottavia palveluita.\r\n\r\nProjektissa luotavaa toimintamallia ja Varaamo -palvelualustaa kokeillaan ensimmäisenä kaupungin pääkirjaston tilojen varaamiseen. Käyttöönotto oli marraskuussa 2019. \r\n\r\nDigitaalisten palveluiden lisääntyessä Turun kaupunki on päättänyt ottaa digitaalisten palveluiden käyttäjien tunnistamiseen Tunnistamo-palvelun. Tunnistamo-palvelu mahdollistaa erilaiset tunnistautumisvaihtoehdot kaupungin sähköisissä palveluissa ja toimii tunnistautuneen kuntalaisen tietojen välittäjänä.\r\n\r\nTunnistamo-palvelun käyttöönoton ensimmäisessä vaiheessa tun-nistautumisvaihtoehdot kuntalaisten tunnistamiseen ovat VRK:n kansallinen Suomi.fi-tunnistus ja Vaski-kirjastojen kirjastokorttikirjautuminen sekä näiden lisäksi Turun AD-ratkaisu työntekijöiden identifiointiin.\r\n\r\nTunnistamo-palvelu otettiin ensimmäisenä käyttöön Varaamo- ja Kerro Kantasi -palvelussa marraskuussa 2019. ","Kaupunkistrategia 2029 ja strategiset ohjelmat","Aikuiset|Lapsiperheet|Maahanmuuttajat|Matkailijat|Nuoret|Seniorit|Työnhakijat|Vammaiset|Vauvat ja taaperot|Viranomaiset|Yhdistykset ja yhteisöt|Yritykset","Vaikuttava ja uudistuva Turku"
"Vapa: Aktiivisuuden edistäminen","2016-03-11","Aktiivista elämäntapaa edistävät palvelut kohdennetaan hyödyntämällä paremmin asiakas- ja asukastietoa","Ei","Kirjastoauton asiakkaat£Asiakas tai asukas|Kirjaston henkilökunta£Oma organisaatio","Kaupunkikehittäminen|Kulttuuri ja liikunta","400000.0","Vapa/Kirjastopalvelut","953","Uuden palvelukonseptin kirjastoauton hankinta","2020-06-30","Turun kaupunginkirjaston vanhempi kirjastoauto on hankittu vuonna 1997. Kirjastoautojen käyttöikä on keskimäärin 18 vuotta. Kirjastoautojen käyttö Turussa on pysynyt tasaisena ja ollut jopa lievässä kasvussa vuoden 2015 jälkeen. Uusi kirjastoauto on tilattu, ja tavoitteena on, että se olisi käytössä vuoden 2019 loppuun mennessä..\r\n\r\nNyt hankittava auto tulee olemaan ensimmäinen kokonaan sähköllä toimiva kirjastoauto Suomessa. Suunnittelun lähtökohtana on ollut kirjastoauto, jonka toiminnalliset ratkaisut ovat muunneltavia, koska kirjastoautot palvelevat erilaisia asiakasryhmiä.\r\n\r\n ","Mahdollistava (yhteistyö, rahoitus jne)","Aikuiset|Lapsiperheet|Maahanmuuttajat|Matkailijat|Nuoret|Seniorit|Vammaiset|Vauvat ja taaperot|Yhdistykset ja yhteisöt","Aktiivinen turkulainen"
"Tämä on hanke","2017-03-27","Turkua kehitetään merkittävänä matkailu-, kongressi- ja tapahtumakaupunkina","Ei","null","null","810000.0","Vapa/Museopalvelut","987","Historian museo","2029-12-31","Historian museon toteuttamisesta päätettiin Turun kaupunginvaltuustossa osana Suomi100 -juhlapäätöstä huhtikuussa 2017. Historian museo tulee kertomaan tarinoita Turun ja Suomen historiasta elämyksellisesti uutta tekniikkaa hyödyntäen. Museon suunnitellaan valmistuvan vuoteen 2029 mennessä. Parhaillaan hankkeessa on käynnissä on jatkovalmisteluvaihe, jonka aikana tarkoitus on edetä mm. tilaratkaisujen suunnittelussa ja museon sisältöjen työstämisessä.\r\n\r\nUusi museo tulee tuomaan Turkuun matkailijoita ja on vahva lisä lapsille ja lapsiperheille suunnattuun tarjontaan. Museon tavoitteena on vahvistaa käsitystä paikallisesta historiasta ja omista juurista. Lisäksi museo toimii kokeilu- ja testauspaikkana turkulaisille innovaatioille ja tuotteille sekä mahdollistaa kaupunkilaisten ja kolmannen sektorin toimintaa antamalla tilaa näiden omille tuotannoille\r\n\r\nHanke jakaantuu kahteen toisiinsa tiivisti liittyvään projektiin. Tila-projektin puitteissa valmistellaan sijaintiin ja museorakennukseen liittyviä kysymyksiä. Sisältö ja konsepti-projektin puitteissa keskitytään museon toimintoihin ja palveluihin sekä muuhun sisältösuunnitteluun.\r\n\r\nLisätietoja \r\nhttp://www.turku.fi/historian-museo\r\n","Asukas-, asiakas- ja henkilöstötarve","null","Yrittävä ja osaava Turku"
"null","null","Tilojen käyttöä tehostetaan uudistamalla toimintamalleja","Ei","null","null","35500.0","Konha/UBC/Union of the Baltic Cities","1123","Irtaimiston kierrätysprosessin kehittäminen","null","Tavarat kiertoon -järjestelmä on kierrätysjärjestelmä, joka mahdollistaa kaupungin irtaimiston tehokkaan kierron toimipisteiden välillä. Järjestelmän kehitys aloitettiin vuonna 2015 ja sitä on kehitetty projektimuotoisesti vuoteen 2018 asti. Nyt järjestelmää ollaan tuomassa kiinteäksi osaksi Turun kaupungin toimintoja. Vuoden 2019–2020 aikana Tavarat kiertoon -järjestelmää jatkokehitetään yhteiskehittämismallin avulla, jolloin kehitystoimintaan pääsevät mukaan myös muut järjestelmästä kiinnostuneet kaupungit ja kunnat.\r\n\r\nJärjestelmän avulla pyritään edistämään Turun kaupungin strategista tavoitetta ulottaa resurssiviisaus kaikkeen toimintaan. Kalustekierrätys vastaa kiertotalouden haasteeseen mahdollistamalla kaupungin sisäisen materiaalikierron, lisäämällä saatavilla olevan materiaalin näkyvyyttä yli toimialarajojen, parantamalla päätöksentekoa sekä vähentämällä turhia ulkoisia ostoja. Irtaimiston kierron lisäksi järjestelmään on mahdollista tuoda myös muita tuotteita ja materiaaleja, ja näin lisätä materiaalin hyötykäyttöä. Lisäksi kierrätysjärjestelmän toimintojen hoito, kuten tuotteiden lisäys ja varaston ylläpito, tuo mielekkäitä työtehtäviä kuntouttavaan työtoimintaan.\r\n\r\nKehittämisprojektin tuotoksena on luotu Turun kaupungille käyttöön järjestelmä joka sisältää internetsivuston ja mobiiliapplikaation. Sivustolle on koottu kaikki käytettävissä oleva irtaimisto nähtäväksi ja tilattavaksi. Mobiiliapplikaatiolla yksiköiden ylimääräisen irtaimiston saadaan lisättyä sivustolle. Sivusto toimii kuin mikä tahansa verkkokauppa, eli tarpeellisen tuotteen osuessa kohdalle sen voi tilata suoraan omaan yksikköön. Tilauksen yhteydessä tuotteelle tilataan myös kuljetus. Kaikki järjestelmässä olevat tuotteet ovat Turun kaupungin yksiköille ilmaisia, mutta kuljetuksesta peritään erillinen kulukorvaus. \r\n\r\nTavarat kiertoon -sivusto on tarkoitettu ainoastaan kaupungin sisäiseen käyttöön, eikä sivustolle pääse kaupungin ulkopuolisesta verkosta. Tuotteiden selailu ja hakutoiminnot ovat avoimia kaikille kaupungin työntekijöille. Tilaus- ja lisäysominaisuudet on rajattu hankintaoikeudet omaaville henkilöille ja näitä toimintoja varten tulee rekisteröityä järjestelmän käyttäjäksi. Kierrätysjärjestelmä on pyritty rakentamaan niin, että lopputuloksena saadaan testattu, monistettava toimintamalli ja konsepti, joka on jatkossa myös muiden tahojen hyödynnettävissä. Järjestelmä on avoimella lähdekoodilla tehty ja siten monistettavissa mihin tahansa organisaatioon.\r\n\r\n","null","null","Vaikuttava ja uudistuva Turku"
